FID,OBJECTID,Id,categ,pend_porc,Fuente,id_pend,COD_COB25_,NOM_COB25,SIM_COB25,GEOLOGIA_1,GEOLOGIA_2,LATITUD_Y,LONGITUD_X,Elevacion,Pendiente,NOMBRE,CODIGO,DATO_ID,FECHA1,FECHA2,CONCAT,Long,Lat,ESTACIÓN,P_24H__mm_,P_3DIAS__m,P_7DIAS__m,P_10DIAS__,P15DIAS__m,P30DIAS__m,P60DIAS__m,P90DIAS__m
65,66,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,Ql/Kv,Lateritas Formacion Volcanica,3.490205375,-76.60580079,1647.767334,25.49999237,AGUACATAL,2622420103,66,1/14/2003 0:00,1/14/2003 0:00,1/14/2003AGUACATAL,-76.60580079,3.490205375,AGUACATAL,0,0,0,0,0,68,182,381
66,67,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23171,Pasto cultivado arbolado,PCUAR,TQj,Formacion Jamundi,3.327366184,-76.55361405,1036.990967,7.118861198,LA RIVERITA,2622310103,67,8/24/2017 0:00,8/24/2017 0:00,8/24/2017LA RIVERITA,-76.55361405,3.327366184,LA RIVERITA,1,1,22.5,49.2,80.6,80.6,154.8,262.2
67,68,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23172,Pasto cultivado enmalezado,PCURA,TQj,Formacion Jamundi,3.307042979,-76.55645532,997.4215698,9.74136734,EL PALACIO,2622100102,68,1/1/2003 0:00,1/1/2003 0:00,1/1/2003EL PALACIO,-76.55645532,3.307042979,EL PALACIO,0,0,8,12,17,162,244,499
68,69,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,23170,Pasto cultivado,PCU,Kv,Formacion Volcanica,3.531663593,-76.61157135,1975.087036,41.42612457,SAN PABLO,2622420102,69,2/27/2018 0:00,2/27/2018 0:00,2/27/2018AGUACATAL,-76.61157135,3.531663593,AGUACATAL,0,0,8.6,13.8,27,27,55.2,150
69,70,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,32310,Vegetación secundaria o transición,VEGSEC,Kv,Formacion Volcanica,3.430642662,-76.55487077,1121.72583,27.09260368,LOS CRISTALES,2622330105,70,1/19/2016 0:00,1/19/2016 0:00,1/19/2016LOS CRISTALES,-76.55487077,3.430642662,LOS CRISTALES,0,0,0,0,22,22,58,204
70,71,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,12111,Otras superficies artificiales con construcción,OICC,Qd,Derrubios,3.340979647,-76.59688262,1300.178345,5.819188595,PANCE - CHORRERA,2622110103,71,2/24/2013 0:00,2/24/2013 0:00,2/24/2013PANCE - CHORRERA,-76.59688262,3.340979647,PANCE - CHORRERA,1,35,39.2,69.4,86.2,183.4,231.6,449.2
71,72,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23172,Pasto cultivado enmalezado,PCURA,TQj,Formacion Jamundi,3.318338275,-76.57239743,1169.328491,16.88601875,PANCE - CHORRERA,2622110103,72,1/8/2020 0:00,1/8/2020 0:00,1/8/2020PANCE - CHORRERA,-76.57239743,3.318338275,PANCE - CHORRERA,0,0,0,135.6,156.4,307.2,601,646.4
72,73,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23170,Pasto cultivado,PCU,TQj,Formacion Jamundi,3.322764463,-76.55730147,1072.46582,19.99803352,LA RIVERITA,2622310103,73,3/5/2017 0:00,3/5/2017 0:00,3/5/2017LA RIVERITA,-76.55730147,3.322764463,LA RIVERITA,2,11,48.5,52.2,57,110.3,240.1,370.4
73,74,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23171,Pasto cultivado arbolado,PCUAR,Qca2(RPan),Cono aluvial 2 rio Pance,3.316802037,-76.54932563,1013.433044,19.73988914,EL PALACIO,2622100102,74,1/26/2018 0:00,1/26/2018 0:00,1/26/2018EL PALACIO,-76.54932563,3.316802037,EL PALACIO,0,0,6,10,58,157,236,572
74,75,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,Ql/Kv,Lateritas Formacion Volcanica,3.374270845,-76.55369883,1039.493896,13.04127598,NAPOLES,2622330108,75,2/7/2018 0:00,2/7/2018 0:00,2/7/2018NAPOLES,-76.55369883,3.374270845,NAPOLES,0,0,32.9,32.9,47.3,110.6,381.3,494.2
75,76,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Qal,Depositos aluviales,3.411526056,-76.55691272,977.5150757,6.26645422,IDEAS,2622330111,76,2/9/2018 0:00,2/9/2018 0:00,2/9/2018IDEAS,-76.55691272,3.411526056,IDEAS,0,3,2.6,20.9,49.2,87.8,242.6,326.6
76,77,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.45081465,-76.5496602,1054.747803,17.7989006,EL ANCLA,2622420106,77,2/17/2019 0:00,2/17/2019 0:00,2/17/2019EL ANCLA,-76.5496602,3.45081465,EL ANCLA,0,0,39.2,56,56,111.3,195.9,540.6
77,78,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11211,Zonas urbanas discontinuas,ZUD,TOg,Formacion Guachinte,3.368238656,-76.5683381,1102.639771,46.22639847,LA RIVERITA,2622310103,78,2/25/2019 0:00,2/25/2019 0:00,2/25/2019LA RIVERITA,-76.5683381,3.368238656,LA RIVERITA,0,5,31.6,52.6,86.8,133.6,334.4,499
78,79,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.453125534,-76.5593546,1150.274658,24.69631958,EL COLEGIO,2622420105,79,2/7/2016 0:00,2/7/2016 0:00,2/7/2016EL COLEGIO,-76.5593546,3.453125534,EL COLEGIO,0,0,0.5,6.5,7.1,37.7,56.8,137.5
79,80,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23170,Pasto cultivado,PCU,TQj,Formacion Jamundi,3.313255655,-76.55507046,1064.966064,33.6162262,EL PALACIO,2622100102,80,1/28/2016 0:00,1/28/2016 0:00,1/28/2016EL PALACIO,-76.55507046,3.313255655,EL PALACIO,0,0,2,2,32,55,28,234.3
80,81,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11211,Zonas urbanas discontinuas,ZUD,Ql/Kv,Lateritas Formacion Volcanica,3.368695111,-76.56389755,1067.862915,27.10965919,LA RIVERITA,2622310103,81,5/29/2017 0:00,5/29/2017 0:00,5/29/2017LA RIVERITA,-76.56389755,3.368695111,LA RIVERITA,0,0,1.2,10.4,56.6,262.2,484.8,706.8
81,82,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23171,Pasto cultivado arbolado,PCUAR,TQj,Formacion Jamundi,3.309315631,-76.57143223,1094.26001,6.395744801,PANCE - CHORRERA,2622110103,82,5/20/2016 0:00,5/20/2016 0:00,5/20/2016PANCE - CHORRERA,-76.57143223,3.309315631,PANCE - CHORRERA,0,1,7.8,8,63.2,253,400.8,669.2
82,83,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Qca(RMel),Cono aluvial rio Melendez,3.408871462,-76.55581053,975.4558105,9.951165199,IDEAS,2622330111,83,8/19/2018 0:00,8/19/2018 0:00,8/19/2018IDEAS,-76.55581053,3.408871462,IDEAS,0,0,2,2,2.6,24.8,66.7,196.8
83,84,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,24130,Misceláneo de pastos y cultivos,MSPNCU,Ql/Kv,Lateritas Formacion Volcanica,3.433019971,-76.60912314,1656.984497,28.73433495,PICHINDE,2622400108,84,5/14/2015 0:00,5/14/2015 0:00,5/14/2015PICHINDE,-76.60912314,3.433019971,PICHINDE,9,9,19.8,82.2,120.4,302.6,505.8,628.8
84,85,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,23170,Pasto cultivado,PCU,Ql/Kv,Lateritas Formacion Volcanica,3.395442766,-76.57608722,1257.286743,13.98326778,LA FONDA,2622320101,85,8/27/1993 0:00,8/27/1993 0:00,8/27/1993LA FONDA CANTA CLARO,-76.57608722,3.395442766,LA FONDA CANTA CLARO,3,22,27,27,32,37.1,109.1,145.1
85,86,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,23170,Pasto cultivado,PCU,Ql/Kv,Lateritas Formacion Volcanica,3.393872616,-76.57569691,1271.620117,29.46711731,LA FONDA,2622320101,86,5/8/2018 0:00,5/8/2018 0:00,5/8/2018LA FONDA CANTA CLARO,-76.57569691,3.393872616,LA FONDA CANTA CLARO,10,50,53,80,119,265,478,557
86,87,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,31331,Bosque mixto fragmentado con vegetación natural,BNFVN,TQj,Formacion Jamundi,3.336240497,-76.55750065,1079.523193,35.66748047,LA RIVERITA,2622310103,87,5/31/2017 0:00,5/31/2017 0:00,5/31/2017LA RIVERITA,-76.55750065,3.336240497,LA RIVERITA,0,0,1.3,2.1,10.5,230.7,471.1,690.3
87,88,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,24140,Misceláneo de cultivos y espacios naturales,MSCULV,Ql/Kv,Lateritas Formacion Volcanica,3.408973195,-76.58929642,1251.703491,16.0185318,LAS BRISAS,2622330106,88,5/25/2016 0:00,5/25/2016 0:00,5/25/2016LAS BRISAS,-76.58929642,3.408973195,LAS BRISAS,0,0,2,32,63,319,645,869
88,89,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,31211,Bosque mixto abierto alto de tierra firme,BNAALT,TQj,Formacion Jamundi,3.331109852,-76.55943414,1056.328735,8.801847458,LA RIVERITA,2622310103,89,5/17/2017 0:00,5/17/2017 0:00,5/17/2017LA RIVERITA,-76.55943414,3.331109852,LA RIVERITA,0,46,88.4,128.9,220.1,334.1,562.8,729.9
89,90,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,23171,Pasto cultivado arbolado,PCUAR,Ql/Kv,Lateritas Formacion Volcanica,3.489269332,-76.60557342,1645.908081,22.26234627,AGUACATAL,2622420103,90,5/12/2016 0:00,5/12/2016 0:00,5/12/2016AGUACATAL,-76.60557342,3.489269332,AGUACATAL,0,26,53.4,54,71,103.8,275.8,378.8
90,91,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,TOg,Formacion Guachinte,3.471435804,-76.53146208,987.7271118,25.7742939,COLEGIO SAN LUIS,2622400101,91,5/18/2012 0:00,5/18/2012 0:00,5/18/2012COLEGIO SAN LUIS,-76.53146208,3.471435804,COLEGIO SAN LUIS,0,0,0,0,67,207,367,402
91,92,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31311,Bosque mixto fragmentado con pastos y cultivos,BNFPNC,Qca1(RPan),Cono aluvial 1 rio Pance,3.356433062,-76.5512939,1062.026245,9.081903458,LA RIVERITA,2622310103,92,5/20/2017 0:00,5/20/2017 0:00,5/20/2017LA RIVERITA,-76.5512939,3.356433062,LA RIVERITA,0,0,48.1,88.6,163.4,304.6,533,722.6
92,93,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23171,Pasto cultivado arbolado,PCUAR,TQj,Formacion Jamundi,3.308278298,-76.56865334,1077.38623,6.693911552,JAMUNDI,2622100202,93,5/6/2012 0:00,5/6/2012 0:00,5/6/2012EL PALACIO,-76.56865334,3.308278298,EL PALACIO,2,8,55,66,106,268,426,682
93,94,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23170,Pasto cultivado,PCU,TQj,Formacion Jamundi,3.294239193,-76.55654762,1017.993591,15.59278393,JAMUNDI,2622100202,94,5/25/2016 0:00,5/25/2016 0:00,5/25/2016EL PALACIO,-76.55654762,3.294239193,EL PALACIO,1,34,35,35,38,225,405,618
94,95,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,32310,Vegetación secundaria o transición,VEGSEC,TOg,Formacion Guachinte,3.370553908,-76.570212,1088.329102,11.07740211,LA RIVERITA,2622310103,95,2/7/2017 0:00,2/7/2017 0:00,2/7/2017LA RIVERITA,-76.570212,3.370553908,LA RIVERITA,0,1,0.9,14,14.2,64.7,222.4,0
95,96,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23171,Pasto cultivado arbolado,PCUAR,TQj,Formacion Jamundi,3.308391765,-76.57294769,1078.043335,8.636368752,PANCE - CHORRERA,2622110103,96,3/15/2013 0:00,3/15/2013 0:00,3/15/2013PANCE - CHORRERA,-76.57294769,3.308391765,PANCE - CHORRERA,7,89,112.8,113.2,125.8,215.2,374,430
96,97,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11211,Zonas urbanas discontinuas,ZUD,Qca1(RPan),Cono aluvial 1 rio Pance,3.36230747,-76.55820083,1041.484009,6.249706745,LA RIVERITA,2622310103,97,2/27/2019 0:00,2/27/2019 0:00,2/27/2019LA RIVERITA,-76.55820193,3.36230747,LA RIVERITA,4,35,40.3,66.4,87.4,137.5,358.4,533.8
97,98,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23171,Pasto cultivado arbolado,PCUAR,TQj,Formacion Jamundi,3.315776409,-76.55754464,1106.887817,33.56287766,EL PALACIO,2622100102,98,5/7/2015 0:00,5/7/2015 0:00,5/7/2015EL PALACIO,-76.55754464,3.315776409,EL PALACIO,0,0,24,24,24,265,541,687
98,99,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Qca(RMel),Cono aluvial rio Melendez,3.416890487,-76.55485253,976.8823853,1.231034875,IDEAS,2622330111,99,2/17/2019 0:00,2/17/2019 0:00,2/17/2019IDEAS,-76.55485253,3.416890487,IDEAS,0,45,47.7,75.9,105,130,155.2,311.2
99,100,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,Ql/Kv,Lateritas Formacion Volcanica,3.439165705,-76.61628906,1646.212402,15.55436039,PICHINDE,2622400108,100,1/31/2018 0:00,1/31/2018 0:00,1/31/2018PICHINDE,-76.61628906,3.439165705,PICHINDE,0,0,0,5.2,27,86.6,268.6,436.4
100,101,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,TOg,Formacion Guachinte,3.488869852,-76.52815392,1002.20575,6.230312824,AGUACATAL-MONTEBELLO,2622420101,101,5/8/2015 0:00,5/8/2015 0:00,5/8/2015AGUACATAL-MONTEBELLO,-76.52815392,3.488869852,AGUACATAL-MONTEBELLO,0,14,82,82,89,201,302,377
101,102,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,12211,Otras superficies artificiales sin construcción,OISC,Kv,Formacion Volcanica,3.431974603,-76.55015292,1062.686646,3.882275581,PLANTA RIO CALI,2622400103,102,5/16/2017 0:00,5/16/2017 0:00,5/16/2017PLANTA RIO CALI,-76.55015292,3.431974603,PLANTA RIO CALI,1,13,42.6,79.3,89.3,167,240.4,283.8
102,103,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23172,Pasto cultivado enmalezado,PCURA,TQj,Formacion Jamundi,3.32403815,-76.56628854,1171.020264,5.274658203,LA RIVERITA,2622310103,103,1/4/2018 0:00,1/4/2018 0:00,1/4/2018LA RIVERITA,-76.56628854,3.32403815,LA RIVERITA,1,15,105.5,135.4,203.4,231.2,489.1,641.1
103,104,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,31311,Bosque mixto fragmentado con pastos y cultivos,BNFPNC,Ql/Kv,Lateritas Formacion Volcanica,3.365436477,-76.55629131,1074.32019,27.4009304,LA RIVERITA,2622310103,104,1/5/2018 0:00,1/5/2018 0:00,1/5/2018LA RIVERITA,-76.55629131,3.365436477,LA RIVERITA,0,16,94.8,135.4,214.9,240.7,485,640.5
104,105,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.476067747,-76.55385398,1175.972168,32.36522293,AGUACATAL-MONTEBELLO,2622420101,105,5/8/2013 0:00,5/8/2013 0:00,5/8/2013AGUACATAL-MONTEBELLO,-76.55385398,3.476067747,AGUACATAL-MONTEBELLO,0,17,44,68,92,183,237,285
105,106,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23172,Pasto cultivado enmalezado,PCURA,Ql/Kv,Lateritas Formacion Volcanica,3.369417601,-76.55176654,1083.828613,18.93263054,LA RIVERITA,2622310103,106,1/5/2018 0:00,1/5/2018 0:00,1/5/2018LA RIVERITA,-76.55176654,3.369417601,LA RIVERITA,0,16,94.8,135.4,214.9,240.7,485,640.5
106,107,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,Ql/Kv,Lateritas Formacion Volcanica,3.482543572,-76.60664749,1692.452515,19.33083153,AGUACATAL,2622420103,107,5/13/2016 0:00,5/13/2016 0:00,5/13/2016AGUACATAL,-76.60664749,3.482543572,AGUACATAL,1,1,45,54.6,75.2,107,273,378.8
107,108,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,23171,Pasto cultivado arbolado,PCUAR,Ql/Kv,Lateritas Formacion Volcanica,3.489295615,-76.60549781,1644.266846,22.83409691,AGUACATAL,2622420103,108,5/6/2018 0:00,5/6/2018 0:00,5/6/2018AGUACATAL,-76.60549781,3.489295615,AGUACATAL,0,0,0.2,31.4,32.8,98.4,181,222.8
108,109,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,33130,Helechal,HELECH,TQj,Formacion Jamundi,3.340096348,-76.55918551,1152.172485,18.18244934,LA RIVERITA,2622310103,109,5/18/2017 0:00,5/18/2017 0:00,5/18/2017LA RIVERITA,-76.55918551,3.340096348,LA RIVERITA,0,23,57.7,123.7,210.4,314.1,541.5,722.4
109,110,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,Qca1(RPan),Cono aluvial 1 rio Pance,3.356328968,-76.54650388,1034.692505,7.757536411,LA RIVERITA,2622310103,110,5/20/2017 0:00,5/20/2017 0:00,5/20/2017LA RIVERITA,-76.54650388,3.356328968,LA RIVERITA,0,0,48.1,88.6,163.4,304.6,533,722.6
110,111,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,31111,Bosque mixto denso alto de tierra firme,BNDALT,Ql/Kv,Lateritas Formacion Volcanica,3.498252756,-76.60673163,1636.703613,24.83427238,AGUACATAL,2622420103,111,5/5/2018 0:00,5/5/2018 0:00,5/5/2018AGUACATAL,-76.60673163,3.498252756,AGUACATAL,0,0,20,31.4,32.8,98.8,194.2,222.8
111,112,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31111,Bosque mixto denso alto de tierra firme,BNDALT,Kv,Formacion Volcanica,3.371027317,-76.60496725,1720.53894,50.29825592,LILI - SAN SEBASTIAN,2622310201,112,5/12/2019 0:00,5/12/2019 0:00,5/12/2019LILI - SAN SEBASTIAN,-76.60496725,3.371027317,LILI - SAN SEBASTIAN,0,1,29.6,40,41.6,147.2,327.4,406.8
112,113,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23171,Pasto cultivado arbolado,PCUAR,TQj,Formacion Jamundi,3.340258727,-76.57080615,1193.264893,10.30497646,LA RIVERITA,2622310103,113,2/25/2017 0:00,2/25/2017 0:00,2/25/2017LA RIVERITA,-76.57080615,3.340258727,LA RIVERITA,4,4,8.2,15.7,59.3,74.9,212.3,343.9
113,114,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23172,Pasto cultivado enmalezado,PCURA,TQj,Formacion Jamundi,3.317031251,-76.57118308,1174.655396,54.9305954,PANCE - CHORRERA,2622110103,114,5/10/2015 0:00,5/10/2015 0:00,5/10/2015PANCE - CHORRERA,-76.57118308,3.317031251,PANCE - CHORRERA,0,1,4.2,33.8,39,216.2,547.4,646.6
114,115,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31311,Bosque mixto fragmentado con pastos y cultivos,BNFPNC,TOf,Formacion Ferreira,3.353898112,-76.55964123,1108.37793,5.722303391,LA RIVERITA,2622310103,115,5/11/2018 0:00,5/11/2018 0:00,5/11/2018LA RIVERITA,-76.55964123,3.353898112,LA RIVERITA,0,0,113.1,113.1,137.6,227.3,291.3,563.2
115,116,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.456478847,-76.56965788,1083.759521,11.35223293,CALI - BOCATOMA,2622400106,116,5/22/2019 0:00,5/22/2019 0:00,5/22/2019CALI - BOCATOMA,-76.56965788,3.456478847,CALI - BOCATOMA,2,28,27.6,27.6,95.2,95.2,395.8,450.8
116,117,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23172,Pasto cultivado enmalezado,PCURA,TOf,Formacion Ferreira,3.365344803,-76.56687273,1061.876465,23.10965157,LA RIVERITA,2622310103,117,8/30/2018 0:00,8/30/2018 0:00,8/30/2018LA RIVERITA,-76.56687273,3.365344803,LA RIVERITA,0,0,1,1,4.2,32.9,53.2,130.1
117,118,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31111,Bosque mixto denso alto de tierra firme,BNDALT,Ql/Kv,Lateritas Formacion Volcanica,3.371753816,-76.56071235,1065.332153,32.67051697,LA RIVERITA,2622310103,118,5/28/2018 0:00,5/28/2018 0:00,5/28/2018LA RIVERITA,-76.56071235,3.371753816,LA RIVERITA,2,25,42.5,47.3,154.4,244.4,300.9,602.3
118,119,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.441986989,-76.54770816,1029.955933,11.42929649,PLANTA RIO CALI,2622400103,119,5/14/2003 0:00,5/14/2003 0:00,5/14/2003PLANTA RIO CALI,-76.54770816,3.441986989,PLANTA RIO CALI,0,73,77,80,82,239,408,507
119,120,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,41120,Ríos,RIO,Qca2(RPan),Cono aluvial 2 rio Pance,3.320325352,-76.5486601,1015.538818,10.92916393,EL PALACIO,2622100102,120,5/3/2015 0:00,5/3/2015 0:00,5/3/2015EL PALACIO,-76.5486601,3.320325352,EL PALACIO,6,14,14,14,71,307,538,687
120,121,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11211,Zonas urbanas discontinuas,ZUD,Kv,Formacion Volcanica,3.468331185,-76.6244596,1713.50647,19.3098259,FELIDIA,2622400107,121,7/16/2018 0:00,7/16/2018 0:00,7/16/2018FELIDIA,-76.6244596,3.468331185,FELIDIA,0,5,4.8,4.8,44,63,357.4,502.6
121,122,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11211,Zonas urbanas discontinuas,ZUD,Kv,Formacion Volcanica,3.473406751,-76.61153517,1603.14563,26.55098724,FELIDIA,2622400107,122,7/17/2018 0:00,7/17/2018 0:00,7/17/2018FELIDIA,-76.61153517,3.473406751,FELIDIA,0,5,4.8,4.8,44,62.4,356.8,502.2
122,123,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23171,Pasto cultivado arbolado,PCUAR,Qca2(RPan),Cono aluvial 2 rio Pance,3.318286411,-76.54744431,1012.49292,3.488126755,EL PALACIO,2622100102,123,7/25/2016 0:00,7/25/2016 0:00,7/25/2016EL PALACIO,-76.54744431,3.318286411,EL PALACIO,0,3,13,19,25,61,160,368
123,124,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31212,Bosque mixto abierto bajo de tierra firme,BNABAJ,TQj,Formacion Jamundi,3.295478895,-76.55796201,1004.905029,29.22118759,JAMUNDI,2622100202,124,7/22/2019 0:00,7/22/2019 0:00,7/22/2019EL PALACIO,-76.55796201,3.295478895,EL PALACIO,0,8,8,9,9,96,234,410.6
124,125,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31311,Bosque mixto fragmentado con pastos y cultivos,BNFPNC,TOf,Formacion Ferreira,3.364565923,-76.5663577,1059.622437,0.984309137,LA RIVERITA,2622310103,125,7/18/2019 0:00,7/18/2019 0:00,7/18/2019LA RIVERITA,-76.5663577,3.364565923,LA RIVERITA,0,0,10.5,10.6,22.8,116.3,333.6,475.6
125,126,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23171,Pasto cultivado arbolado,PCUAR,Qca2(RPan),Cono aluvial 2 rio Pance,3.313561109,-76.54610089,1005.150208,6.622712612,EL PALACIO,2622100102,126,7/27/2006 0:00,7/27/2006 0:00,7/27/2006EL PALACIO,-76.54610089,3.313561109,EL PALACIO,5,52,54,54,54,67,250,413
126,127,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,31311,Bosque mixto fragmentado con pastos y cultivos,BNFPNC,Ql/Kv,Lateritas Formacion Volcanica,3.374902071,-76.59321885,1445.801025,23.76449966,LILI - SAN SEBASTIAN,2622310201,127,7/28/2004 0:00,7/28/2004 0:00,7/28/2004LILI - SAN SEBASTIAN,-76.59321885,3.374902071,LILI - SAN SEBASTIAN,0,54,62,79,79,133,175,479
127,128,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,32110,Arbustal y matorral denso alto de tierra firme,ABDALT,TQj,Formacion Jamundi,3.329410472,-76.56008189,1066.048828,11.22767544,LA RIVERITA,2622310103,128,7/25/2018 0:00,7/25/2018 0:00,7/25/2018LA RIVERITA,-76.56008189,3.329410472,LA RIVERITA,0,16,16.6,16.7,21.2,42.9,98.3,337.1
128,129,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,32310,Vegetación secundaria o transición,VEGSEC,Kv,Formacion Volcanica,3.432978501,-76.55430983,1123.33252,21.8969059,PLANTA RIO CALI,2622400103,129,7/10/2015 0:00,7/10/2015 0:00,7/10/2015PLANTA RIO CALI,-76.55430983,3.432978501,PLANTA RIO CALI,0,4,4,4,4,4,55.2,241
129,130,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,12111,Otras superficies artificiales con construcción,OICC,Qca2(RPan),Cono aluvial 2 rio Pance,3.337735243,-76.55181357,1068.793579,15.21018791,LA RIVERITA,2622310103,130,7/30/2017 0:00,7/30/2017 0:00,7/30/2017LA RIVERITA,-76.55181357,3.337735243,LA RIVERITA,0,0,0,0,47.1,53.9,181.4,412.1
130,131,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23172,Pasto cultivado enmalezado,PCURA,TQj,Formacion Jamundi,3.323203336,-76.56667702,1173.279907,14.10933781,LA RIVERITA,2622310103,131,7/5/2017 0:00,7/5/2017 0:00,7/5/2017LA RIVERITA,-76.56667702,3.323203336,LA RIVERITA,0,1,7.2,21.1,23.1,128.3,292.7,599.4
